label,content
3,học nghề nấu ăn ở hướng nghiệp á âu ổn không mọi người ơi ai học rồi cho em xin ít review trong lúc học có phát sinh chi phí gì không ạ
3,mọi người cho em hỏi trường đại học ngoại thương tuyển thẳng những nghành nào ạ
3,không biết mọi ngườig thấy sao chứ tâm trạng mình hiện giờ rất thoải mái kh lo lắng điều gì cảm giác như kì thi thpt sắp tới chỉ là một kì thi bth mình còn thấy nó kh áp lực bằng hồi thi lên cấp 3 kiểu rớt đại học cũng chả gì to tát cả còn rất nhiều con đường để mình đi mình cũng có đủ thừa cả kiến thức để mà đậu tốt nghiệp luôn í thầy cô mình ai cũng nói xác xuất rớt tốt nghiệp là rất thấp cố ôn một xíu thì cũng ổn rồi cái mình lo là lo công việc tương lai sau này thôi nên tự nhiên gần t
3,e đang định vô đại học công nghiệp tp hcm anh chị cho em xin ý kiến cảm ơn ạ
3,em hiện trước có học trung cấp kế toán học hết 2 năm và có điểm báo cáo thực tập luôn nhưng lại nợ môn em không học lại và nghỉ nên không lấy được bằng giờ em muốn đi học lại liêụ có cách nào xin học ngang ghép vào trường khác không ạ xin cám ơn ạ
3,có ai đã và đang đi du học không ạ cho em hỏi một vài vấn đề với ạ
3,mọi người ơi cho em hỏi trong đơn đăng kí nếu mình ghi thi khối c03 vào ngành công an nhưng thi xong có được đổi nguyện vọng sang trường hutech đã đỗ nhờ vào xét học bạ được không ạ
3,mọi người ơi bây giờ còn trường công lập nào xét học bạ ngành điều dưỡng không ạ
3,mọi người cho em hỏi nếu em thi tốt nghiệp trong nam rồi đến lúc chỉnh sửa nguyện vọng em đăng kí thêm một trường ở hn và ra đó học thì có được không ạ em xin cảm ơn mọi người trước
3,chào mọi người em năm sau 12 ạ hiện tại em vẫn chưa định hướng được ngành để học em dự định học khối a00 tiếng anh em học không được tốt cho lắm dưới là những điều giống với tính cách em 85 mong mọi người tư vấn giúp em ạ
3,có achi nào có sách ôn cơ bản đến nâng cao như này không ạ
2,nên chọn luật hay dược thì đầu ra tốt hơn ạ
