label,content
1,mọi người có thể review cho em về ngành logistics và quản lí chuỗi cung ứng được không ạ
0,mng ơi cho em hỏi nên học ngành ngôn ngữ anh của đại học ngoại ngữ đhqghn và đại học ngoại thương ạ và cho em hỏi sự khác biệt giữa chương trình đào tạo của trường này với ạ em cảm ơn
0,mọi người ơi cho em hỏi là giữa ngôn ngữ nhật ngôn ngữ hàn và ngôn ngữ trung thì nên chọn cái nào vậy ạ tại em nghe nói tiếng nhật học sẽ khó hơn nhưng sau này cơ hội việc làm sẽ nhiều hơn í ạ
0,dạ mọi người ơi giữa đại học ngân hàng ngành tài chính ngân hàng và đại học quốc tế thì em đang phân vân không biết chọn ngành nào ấy ạ
0,các anh chị tư vấn cho em ngành truyền thông với cả ngành quan hệ công chúng thì sẽ học về những cái gì với cả có trường nào ổn về ngành này với ạ em cảm ơn anh chị ạ
1,mọi người review cho em ngành công nghệ thông tin với ạ và khmt và ktmt là gì mình học về gì vậy mọi người
0,anh chị ơi cho em hỏi là nên học kdqt ở tdt hay ktqt ở buh vậy ạ với 2 chuyên ngành này khác nhau nhiều không ạ 
1,cho em hỏi là học quản trị kinh doanh học trường công nghiệp tp hcm có được không ạ
0,cho em hỏi ở đây có anh chị nào học ngôn ngữ và đồng thời học thêm nghành kinh tế không ạ cho em định hướng và hướng đi là em nên làm gì từ bây giờ ạ với lại ngành ngôn ngữ nào sẽ có triển vọng hơn và chuyên ngành kinh tế nào có thể học kết hợp với ngành ngôn ngữ ạ em cảm ơn nhìu
0,mng cho em hỏi học marketing có học nhiều về tiếng anh và đòi hỏi phải giỏi tiếng anh không ạ cho em hỏi là học ngôn ngữ trung thì ra làm marketing đc không ạ hay phải đi đúng ngành học mới đc
0,chào mọi người 1 em muốn thi ngành quản trị kinh doanh nên có thể cho em xin một số trường đào tạo tốt ở tphcm không ạ em đã biết tới ngoại thương và đại học không tế 2 em muốn thi ngành d07 thì ngoài qtkd ra còn ngành nào có cơ hội làm việc tốt không ạ em tốt tiếng anh nên muốn làm việc ở nước ngoài hoặc công ty nước ngoài 3 nếu vẫn là qtkd thì em nên chọn ngành này hay kinh doanh quốc tế ạ em thấy 2 ngành gần như nhau em cảm ơn
1,em dự tính sẽ học ngành logistics supply chain management anh chị nào có kinh nghiệm hoặc hiểu biết về ngành trên có thể tư vấn cho em với ạ 
1,em muốn tìm hiểu về khoa học máy tính ạ em hi vọng các anh chị tư vấn giúp em ạ
0,các anh chị ơiii cho em hỏi em là một đứa sống khá khép kín không giỏi giao tiếp học môn tự nhiên không tốt cho lắm nên em thi ban xã hội nhưng em học tốt môn anh văn liệu em lựa chọn ngành thương mại điện tử có phù hợp không ạ cảm ơn anh chị nhiều ạ
1,em đang phân vân giữa quản trị kinh doanh và marketing anh chị có kinh nghiệm cho em xin tư vấn với ạ
0,học ngành du lịch thì kể cả đại học hay cao đẳng có phải học toán không các anh chị 
0,cho em hỏi kinh tế đối ngoại và quan hệ quốc tế giống và khác nhau như thế nào ạ
1,cho em hỏi ở đây có anh chị nào học ngôn ngữ không ạ cho em định hướng và hướng đi em nên làm gì từ bây giờ
